width,element_id,n1,n2,family,mean_tension_per_rope_kn,sigma_per_rope_kn,peak_mean_plus_3p5sigma_kn,capacity_ratio_to_break
L,1240,1240,1241,gantry_rope,552.5311648969639,16.107677447139654,608.9080359619527,
L,1241,1241,1242,gantry_rope,552.8540648791688,16.11278012560094,609.2487953187722,
L,1242,1242,1243,gantry_rope,553.1969322420493,16.11798592494498,609.6098829793568,
L,1243,1243,1244,gantry_rope,554.3284739713883,16.147706141556206,610.845445466835,
L,1244,1244,1245,gantry_rope,554.6862581128962,16.15268923588443,611.2206704384918,
L,1245,1245,1246,gantry_rope,555.0305839331268,16.157317438212264,611.5811949668697,
L,1246,1246,1247,gantry_rope,555.3781719253388,16.161803661175895,611.9444847394545,
L,1247,1247,1248,gantry_rope,555.7457335701254,16.166339900098535,612.3279232204702,
L,1248,1248,1249,gantry_rope,557.0999422307083,16.18197894639091,613.7368685430764,
L,1249,1249,1250,gantry_rope,557.485329380408,16.186110402018077,614.1367157874712,
L,1250,1250,1251,gantry_rope,557.8572193375372,16.189900686682325,614.5218717409253,
L,1251,1251,1252,gantry_rope,558.232357240832,16.1935264337111,614.9096997588208,
L,1252,1252,1253,gantry_rope,558.6274772286049,16.197139370938856,615.3174650268909,
L,1253,1253,1254,gantry_rope,559.9268309575828,16.224356454596045,616.712078548669,
L,1254,1254,1255,gantry_rope,560.3384301514927,16.22755431819665,617.134870265181,
L,1255,1255,1256,gantry_rope,560.7348493693586,16.23043130110452,617.5413589232244,
L,1256,1256,1257,gantry_rope,561.1344931270633,16.233125052284592,617.9504308100593,
L,1257,1257,1258,gantry_rope,561.5557511722222,16.235745001895353,618.3808586788559,
L,1258,1258,1259,gantry_rope,562.9326036989946,16.261148204947837,619.846622416312,
L,1259,1259,1260,gantry_rope,563.3687105191866,16.263289135383076,620.2902224930274,
L,1260,1260,1261,gantry_rope,563.7896864243065,16.265141750168098,620.7176825498949,
L,1261,1261,1262,gantry_rope,564.213925297231,16.266799379889235,621.1477231268433,
L,1262,1262,1263,gantry_rope,564.6614791825775,16.268324986060655,621.6006166337899,
L,1263,1263,1264,gantry_rope,566.2848444335526,16.27260569271629,623.2389643580597,
L,1264,1264,1265,gantry_rope,566.7483681986121,16.273484747808833,623.705564815943,
L,1265,1265,1266,gantry_rope,567.1967589626146,16.27412393145611,624.156192722711,
L,1266,1266,1267,gantry_rope,567.6484197894524,16.274562685244845,624.6093891878094,
L,1267,1267,1268,gantry_rope,568.1250790986988,16.274809062836052,625.086910818625,
L,1268,1268,1269,gantry_rope,569.6648714375248,16.29507146474448,626.6976215641305,
L,1269,1269,1270,gantry_rope,570.1547517195669,16.294792580943565,627.1865257528693,
L,1270,1270,1271,gantry_rope,570.6277940626188,16.294321400069055,627.6579189628605,
L,1271,1271,1272,gantry_rope,571.1057243995003,16.293647786242985,628.1334916513508,
L,1272,1272,1273,gantry_rope,571.6069183226546,16.29272991021352,628.6314730084018,
L,1273,1273,1274,gantry_rope,573.1734799801152,16.395914836957395,630.5591819094661,
L,1274,1274,1275,gantry_rope,573.6225805273648,16.395091400055612,631.0054004275594,
