global_index,width,mct_node,x_m,y_m,z_m
1214,R,90,413.909,21.45,198.618866084454
1215,R,91,419.909,21.45,201.336677427616
1216,R,92,425.909,21.45,204.066907851035
1217,R,93,428.909,21.45,205.436519223223
1218,R,94,431.909,21.45,206.809221881486
1219,R,95,437.909,21.45,209.565499159252
1220,R,96,443.909,21.45,212.334221887669
1221,R,97,446.909,21.45,213.72308877101798
1222,R,98,449.909,21.45,215.115053579623
1223,R,99,455.909,21.45,217.907965902005
1224,R,100,461.909,21.45,220.713349072587
1225,R,101,464.909,21.45,222.12055521547703
1226,R,102,467.909,21.45,223.530865676661
1227,R,103,473.909,21.45,226.36048956577
1228,R,104,479.909,21.45,229.202610028938
1229,R,105,482.909,21.45,230.628193995812
1230,R,106,485.909,21.45,232.056888757832
1231,R,107,488.91829999999993,21.45,233.493171379095
1232,R,108,491.909,21.45,234.92426981301998
1233,R,109,497.909,21.45,237.805116471598
1234,R,110,500.909,21.45,239.25007334383
1235,R,111,503.909,21.45,240.69814791043999
1236,R,112,509.909,21.45,243.60334224445
1237,R,113,515.909,21.45,246.52108697239302
1238,R,114,518.909,21.45,247.984502345618
1239,R,115,521.909,21.45,249.451042058223
1240,R,116,527.909,21.45,252.39318759104
1241,R,117,533.909,21.45,255.347910248324
1242,R,118,536.909,21.45,256.829824196167
1243,R,119,539.909,21.45,258.3148692109
1244,R,120,545.909,21.45,261.29404646219604
1245,R,121,551.909,21.45,264.326433142772
1246,R,122,554.909,21.45,265.84719967906
1247,R,123,557.909,21.45,267.371111628117
1248,R,124,563.909,21.45,270.428067636635
1249,R,125,569.909,21.45,273.497685543949
1250,R,126,572.909,21.45,275.03707774211904
1251,R,127,575.909,21.45,276.579622337275
1252,R,128,581.909,21.45,279.673865408244
1253,R,129,587.909,21.45,282.78079846253
1254,R,130,590.909,21.45,284.33885842704
1255,R,131,593.909,21.45,285.90007785202096
1256,R,132,599.909,21.45,289.031692569251
1257,R,133,602.9182999999999,21.45,290.607337273829
1258,R,134,605.909,21.45,292.176987532352
1259,R,135,608.909,21.45,293.75471325002303
1260,R,136,611.909,21.45,295.335605944517
1261,R,137,617.909,21.45,298.506590538326
1262,R,138,623.909,21.45,301.690323753477
1263,R,139,626.909,21.45,303.286805145977
1264,R,140,629.909,21.45,304.88646075007597
1265,R,141,635.909,21.45,308.094993586673
1266,R,142,641.909,21.45,311.316304143594
1267,R,143,644.909,21.45,312.931584832544
1268,R,144,647.909,21.45,314.55004705306203
1269,R,145,653.909,21.45,317.796215761456
1270,R,146,659.909,21.45,321.055191620762
1271,R,147,662.909,21.45,322.690270760228
1272,R,148,665.909,21.45,324.328539209872
1273,R,149,671.909,21.45,327.614344396072
1274,R,150,677.909,21.45,330.912988014558
1275,R,151,683.909,21.45,334.223753318428
1276,R,152,688.909,21.45,337.025419986681
1277,R,153,693.909,21.45,339.834988463188
1278,R,154,695.2679999999999,21.45,340.6
1279,R,155,696.909,21.45,340.596402534349
1280,R,156,709.909,21.45,340.59632878822697
1281,R,157,711.5880000000001,21.45,340.6
1282,R,158,712.909,21.45,339.857229118039
1283,R,159,716.909,21.45,337.61178216165797
1284,R,160,722.209,21.45,334.645
1285,R,161,729.909,21.45,331.649211634696
1286,R,162,738.909,21.45,328.17152049311403
1287,R,163,747.909,21.45,324.719368890838
1288,R,164,756.909,21.45,321.292734810443
1289,R,165,765.909,21.45,317.891596393349
1290,R,166,768.909,21.45,316.763772632318
1291,R,167,774.909,21.45,314.517762669699
1292,R,168,783.909,21.45,311.17033946523696
1293,R,169,792.909,21.45,307.848344985038
1294,R,170,801.909,21.45,304.551758030068
1295,R,171,810.909,21.45,301.280557563417
1296,R,172,819.909,21.45,298.034722710196
1297,R,173,825.909,21.45,295.88515017530995
1298,R,174,828.909,21.45,294.81516402993395
1299,R,175,837.909,21.45,291.622788073063
1300,R,176,846.909,21.45,288.455713826501
1301,R,177,855.909,21.45,285.313921072831
1302,R,178,864.909,21.45,282.197389752972
1303,R,179,873.909,21.45,279.10609996911
1304,R,180,882.909,21.45,276.040031984883
1305,R,181,891.909,21.45,273.058476807789
1306,R,182,900.909,21.45,270.102059305593
1307,R,183,909.909,21.45,267.170760595437
1308,R,184,918.909,21.45,264.264561956419
1309,R,185,927.909,21.45,261.38344482157197
1310,R,186,936.909,21.45,258.527390785858
1311,R,187,939.9182999999999,21.45,257.578271455322
1312,R,188,945.909,21.45,255.698239967586
1313,R,189,954.909,21.45,252.89504674621702
1314,R,190,963.909,21.45,250.116860373101
1315,R,191,972.909,21.45,247.363663096842
1316,R,192,981.909,21.45,244.635437322384
1317,R,193,990.909,21.45,241.932165618156
1318,R,194,996.9182999999999,21.45,240.141307444786
1319,R,195,999.909,21.45,239.254759083599
1320,R,196,1008.909,21.45,236.60413380559902
1321,R,197,1017.909,21.45,233.978409353393
