mode,frequency_hz,eigenpair_relative_residual,mode_class,dominant_span,dominant_span_fraction,main_energy_fraction,family,family_fraction_within_main,span_parity,half_wave_order,template_mac,roll_common_dominant,main_L_energy,main_V_energy,main_T_energy,main_sys_z_energy,main_intra_roll_energy,modal_mass_norm,formal_label
61,0.37231786163035496,9.123789380758444e-12,SIDE,NORTH,0.9999999999917952,8.204362229175723e-12,SIDE,0.9983250741765543,,0,0.0,True,2.357492064835868e-26,1.6866861025109186e-21,1.3740691067538546e-14,5.123240038623244e-17,1.3689458667152314e-14,0.9999999999999996,SIDE_NORTH
62,0.3736723160552455,1.3734195559415016e-11,MAIN,MAIN,0.9999999999976887,0.9999999999976887,L,0.857687818955574,S,11,0.2048035847499526,True,0.857687818953592,2.0522436905865672e-10,0.13737733462073085,0.04877355231229399,0.08860378230843688,0.9999999999999996,LS8
63,0.3737624957238541,9.10343944262428e-12,SIDE,NORTH,0.9999999999853527,1.4646968343480617e-11,SIDE,0.9045972546947559,,0,0.0,True,2.862781138967048e-24,2.2227784742986963e-14,2.3030850351173034e-15,2.2349871985408516e-15,6.809783657645188e-17,1.0000000000000002,SIDE_NORTH
64,0.37376835474218423,1.0617808679944498e-11,SIDE,NORTH,0.999999999983777,1.6222910384928595e-11,SIDE,0.9235050926715568,,0,0.0,True,4.9805647837155456e-23,2.0362927980922528e-15,2.5133978761414755e-14,2.43965591738581e-14,7.374195875566585e-16,0.999999999999999,SIDE_NORTH
65,0.3784223153146494,9.815885106449672e-12,MAIN,MAIN,0.9999999999037458,0.9999999999037458,SYSY,0.8700664869477402,,0,0.0,False,3.6734699158231896e-07,1.3627340311827594e-05,0.12147104881842352,2.3528596602557648e-08,0.12147102528982691,1.0,SYSY_MIXED
66,0.38200193369060137,1.21007655100086e-11,SIDE,AUX,0.9990799981753369,7.877165051507973e-13,SIDE,0.9990328550286847,,0,0.0,True,6.0659321473085305e-27,8.781277457299544e-27,7.618360482123824e-16,7.24929152076961e-16,3.690689613542145e-17,1.0,SIDE_AUX
67,0.3839801533820806,1.298342844424426e-11,SIDE,AUX,0.9986614722243654,1.946698803855758e-12,SIDE,0.9990327920899315,,0,0.0,False,1.4820389319961265e-26,1.8827483859458454e-15,1.1035307751323576e-22,6.585376283630596e-27,1.1034649213695214e-22,1.0,SIDE_AUX
68,0.3863062395877066,1.113272280640318e-11,SIDE,AUX,0.9990583564480249,1.0623576587386736e-12,SIDE,0.9990328454440017,,0,0.0,True,8.363005071815975e-27,4.663469808321632e-28,1.0274640493096075e-15,9.566531686742334e-16,7.081088063537411e-17,0.9999999999999996,SIDE_AUX
69,0.38879034849889144,9.437578126245232e-12,MAIN,MAIN,0.999999999984307,0.999999999984307,L,0.8324845322377993,A,6,0.18378925319754624,True,0.8324845322247357,3.2887586080453677e-10,0.1595833808464118,0.04676902059798461,0.11281436024842721,0.9999999999999997,LA7
70,0.39290823312413264,1.3248872750645107e-11,SIDE,SOUTH,0.9989777493248335,7.927008208244077e-11,SIDE,0.9990328305126637,,0,0.0,True,1.528036166750479e-22,2.674048613463077e-25,7.666760422174128e-14,7.255163358878543e-15,6.941244086286274e-14,0.9999999999999994,SIDE_SOUTH
71,0.3929245169731929,6.776152890004087e-12,MAIN,MAIN,0.9999999999877633,0.9999999999877633,L,0.8898951940658296,S,11,0.6107956831865176,True,0.8898951940549406,3.952784523099308e-10,0.10511809926853347,0.0326050281608975,0.07251307110763597,1.000000000000001,LS9
72,0.40029627595673306,1.2469199136128472e-11,MAIN,MAIN,0.9999999999648298,0.9999999999648298,T,0.7765970970300333,S,11,0.950284612677979,True,0.18093884556431836,3.683737367445615e-05,0.7765970970027203,0.7383807199119619,0.03821637709075837,0.9999999999999996,TS6
73,0.40051833353630545,5.397482797013317e-12,MAIN,MAIN,0.9999999999851652,0.9999999999851652,V,0.94617731588299,S,11,0.9535086571285954,False,7.5708197727338945e-06,0.9461773158689537,0.00024193592034455603,2.8436034444727063e-05,0.00021349988589982897,1.0000000000000009,VS6
74,0.40188053741229773,8.212194024521593e-12,SIDE,NORTH,0.9999999999890724,1.0927708111042271e-11,SIDE,0.9983246431144174,,0,0.0,False,9.12149960816983e-27,8.044843039268908e-21,1.8303007909357244e-14,5.023969157265404e-22,1.830300740696033e-14,1.0000000000000009,SIDE_NORTH
75,0.4025387139563895,1.020685003385185e-11,MAIN,MAIN,0.9999999999699682,0.9999999999699682,SYSY,0.8850657926100922,,0,0.0,False,1.1092990909919516e-06,0.0017674970435107862,0.10701864756420235,9.001716640076109e-07,0.10701774739253835,1.0000000000000004,SYSY_MIXED
76,0.4038030874683148,8.124073037271877e-12,MAIN,MAIN,0.9999999998972671,0.9999999998972671,L,0.686466074786015,S,7,0.18813755102389987,True,0.6864660747154923,4.321877763269624e-08,0.29332977102783575,0.1551187663343595,0.13821100469347627,1.0000000000000002,LS10
77,0.41050608147585266,1.1367222817891254e-11,SIDE,AUX,0.9986430876280772,1.9760410394227988e-11,SIDE,0.999032540058202,,0,0.0,False,1.989191271010893e-27,4.771962195151727e-21,1.9112471753046958e-14,3.0755429733328036e-21,1.9112468677503985e-14,0.9999999999999993,SIDE_AUX
78,0.41588317174307243,9.67246792110071e-12,MAIN,MAIN,0.9999999999542053,0.9999999999542053,L,0.8619559931520937,A,12,0.526435557259929,True,0.8619559931126207,3.5557498367725085e-10,0.12990437805660054,0.040513728821742735,0.0893906492348578,1.0,LA8
79,0.41623329173821133,9.769063092322844e-12,MAIN,MAIN,0.9999999999667043,0.9999999999667043,SYSY,0.8706017918780216,,0,0.0,False,1.2725712389723223e-07,6.804877806181286e-05,0.11849930430592089,3.480900259982197e-09,0.11849930082502062,1.0000000000000002,SYSY_MIXED
80,0.4251779934142592,5.3420838049293845e-12,MAIN,MAIN,0.9999999999311533,0.9999999999311533,L,0.6866367880332447,S,7,0.26205784966078544,True,0.686636787985972,6.364136934133055e-09,0.2914198517174026,0.13785443142372042,0.15356542029368211,1.0000000000000007,LS11
