mode,node,dof,frequency_hz,mass,stiffness
130,44,1,5.209463890172e-01,1.000000000000e+00,1.071385589762e+01
131,44,2,5.209505640240e-01,1.000000000000e+00,1.071402762585e+01
132,44,3,5.219310649142e-01,1.000000000000e+00,1.075439613829e+01
133,45,1,5.245422632533e-01,1.000000000000e+00,1.086227286527e+01
134,45,2,5.245631754917e-01,1.000000000000e+00,1.086313898792e+01
135,45,3,5.264035034742e-01,1.000000000000e+00,1.093949511873e+01
136,46,1,5.273975048642e-01,1.000000000000e+00,1.098084795846e+01
137,46,2,5.282359023649e-01,1.000000000000e+00,1.101578795338e+01
138,46,3,5.325245159674e-01,1.000000000000e+00,1.119538283750e+01
139,47,1,5.348455489167e-01,1.000000000000e+00,1.129318671230e+01
140,47,2,5.348472718397e-01,1.000000000000e+00,1.129325947096e+01
141,47,3,5.396700444645e-01,1.000000000000e+00,1.149784265926e+01
142,48,1,5.444101890481e-01,1.000000000000e+00,1.170071028722e+01
143,48,2,5.449830681448e-01,1.000000000000e+00,1.172534839755e+01
144,48,3,5.493541089783e-01,1.000000000000e+00,1.191418916371e+01
145,49,1,5.494342761120e-01,1.000000000000e+00,1.191766668784e+01
146,49,2,5.508062812650e-01,1.000000000000e+00,1.197726076915e+01
147,49,3,5.519408823731e-01,1.000000000000e+00,1.202665530281e+01
148,50,1,5.702652015831e-01,1.000000000000e+00,1.283847615853e+01
149,50,2,5.702700101808e-01,1.000000000000e+00,1.283869267298e+01
150,50,3,5.790844284596e-01,1.000000000000e+00,1.323864420961e+01
