mode,frequency_hz,q_ref_max_abs,q_ccx_max_abs,q_max_abs_error,v_ref_max_abs,v_max_abs_error
71,3.692776469020e-01,8.221832949430e-13,8.032523000000e-13,3.623918103265e-14,1.922243018928e-12,4.991569431248e-14
72,3.710198058811e-01,8.135057564379e-13,8.275319000000e-13,1.475334517379e-14,1.984656702192e-12,2.886785066552e-14
73,3.713491297602e-01,1.285582786663e-12,1.230760000000e-12,6.107844273865e-14,2.829479282716e-12,9.906383436347e-14
74,3.717690964908e-01,3.820825769508e-05,3.820826000000e-05,4.943531900094e-12,6.316282852249e-05,4.978503639072e-12
75,3.718699924839e-01,1.934356095065e-13,1.523960000000e-13,4.799257474963e-14,2.854468145231e-13,7.491674364766e-14
76,3.760774593646e-01,1.208373342767e+01,1.208373000000e+01,3.744276224182e-06,2.307092305263e+01,4.798177069887e-06
77,3.902683281917e-01,9.017987130217e-13,8.970460000000e-13,6.719222653964e-14,1.812663144476e-12,1.227146884085e-13
78,3.937915710171e-01,4.871579134487e-05,4.871579000000e-05,4.850821648658e-12,1.193075063842e-04,4.958804558381e-11
79,3.987616180296e-01,9.594863782564e+00,9.594864000000e+00,4.894010872114e-07,1.729835935689e+01,4.730854785251e-06
80,4.008378318596e-01,1.437053747728e+01,1.437054000000e+01,4.910212911824e-06,2.852246963867e+01,4.920804009600e-06
81,4.026337645257e-01,1.794758632035e+01,1.794759000000e+01,4.762261191615e-06,4.146841177316e+01,4.981517880864e-06
82,4.027361887598e-01,2.839004691273e+00,2.839005000000e+00,4.934626380848e-07,5.905235570006e+00,4.988229718172e-07
83,4.156692792538e-01,5.133527755523e-05,5.133528000000e-05,4.742296753384e-12,1.094457412400e-04,4.123995140878e-11
84,4.175484149783e-01,7.518698703561e+00,7.518699000000e+00,4.927228793861e-07,1.164197693166e+01,4.945141911961e-06
85,4.274905259866e-01,5.242040047586e-13,5.377806000000e-13,4.450570923005e-14,1.096440958057e-12,7.196521338071e-14
86,4.334834169388e-01,5.957163155925e-13,5.699340000000e-13,2.790782555220e-14,1.213939175963e-12,5.505553486646e-14
87,4.367084410464e-01,7.392643800424e+00,7.392644000000e+00,4.952217327325e-07,1.609965330114e+01,4.893057784727e-06
88,4.371866043661e-01,1.256987745761e+01,1.256988000000e+01,4.366613824303e-06,2.741101696569e+01,4.602335874182e-06
89,4.393199622488e-01,9.880051362152e-01,9.880051000000e-01,4.991827576295e-08,1.685440343848e+00,4.973796150498e-07
90,4.393772978402e-01,1.325243618448e+01,1.325244000000e+01,4.385661975803e-06,3.791570294131e+01,4.867470556391e-06
91,4.398465654373e-01,1.017074561148e-12,1.029411000000e-12,2.981185803654e-14,2.852021180388e-12,8.193940352695e-14
92,4.439908780374e-01,3.110474770859e-05,3.110475000000e-05,4.875461677851e-12,8.344456314477e-05,4.957035006266e-12
93,4.515061031813e-01,2.307064131015e-13,2.397120000000e-13,2.557847196167e-14,8.042648139099e-13,4.178128461991e-14
94,4.628653329672e-01,3.297234050516e+00,3.297234000000e+00,4.981101775492e-07,7.382586600571e+00,4.980965928603e-07
95,4.646567928272e-01,3.656349742992e-05,3.656350000000e-05,4.977454163557e-12,6.441658938024e-05,4.890594148459e-12
96,4.653097749667e-01,7.212858224237e-13,7.038354000000e-13,3.123799937394e-14,1.971772783644e-12,8.458913496673e-14
97,4.744901095729e-01,2.092537658344e+00,2.092538000000e+00,4.801117290398e-07,6.152704907537e+00,4.837969891369e-07
98,4.762081086685e-01,1.281939085605e-13,1.304212000000e-13,1.278755660329e-14,4.097000700077e-13,2.719403073448e-14
99,4.762269519523e-01,3.304984574437e-13,3.351018000000e-13,1.687109652745e-14,9.924071957544e-13,3.790634407479e-14
100,4.766489250607e-01,1.109318242389e-13,1.451298000000e-13,3.779836250115e-14,3.576256546559e-13,9.414895550796e-14
101,4.792142785721e-01,1.318985734642e-12,1.316095000000e-12,3.799987367923e-14,4.127347595780e-12,9.997003349733e-14
102,4.804062083917e-01,5.038046670316e-05,5.038047000000e-05,4.871909814593e-12,1.353682406980e-04,4.567959942595e-11
103,4.805996546887e-01,2.011764963646e-11,2.012527000000e-11,2.070913791841e-14,6.185911010688e-11,5.053582562468e-14
104,4.806618061744e-01,6.866720342927e+00,6.866720000000e+00,4.978074130690e-07,2.100229533712e+01,4.946064233735e-06
105,4.807745761123e-01,6.386808625427e-12,6.389714000000e-12,1.502596378021e-14,1.790432688963e-11,3.032521124147e-14
106,4.813040238259e-01,1.074071859979e+01,1.074072000000e+01,4.984694955468e-06,1.799893522754e+01,4.817207027941e-06
107,4.819324547355e-01,5.302266781260e+00,5.302267000000e+00,4.953154144616e-07,1.607698495791e+01,4.957908615211e-06
108,4.821570858306e-01,1.074999296097e-12,1.080963000000e-12,2.334897858153e-14,3.392107280459e-12,5.119203969383e-14
109,4.821754854658e-01,8.028743535989e-13,8.162709000000e-13,6.479314452344e-14,1.913732702910e-12,1.298378922238e-13
110,4.847130465234e-01,1.622440556736e-13,1.567280000000e-13,1.107854776035e-14,4.943541918422e-13,2.918705071066e-14
111,4.901303765322e-01,4.433442076768e+00,4.433442000000e+00,4.811156346651e-07,5.259790053317e+00,4.967807716305e-07
112,4.907949609243e-01,2.219432944348e-13,2.414982000000e-13,2.202755880653e-14,3.786249549954e-13,3.038474003344e-14
113,4.960001728970e-01,8.455953577164e-14,6.776312000000e-14,2.813188836574e-14,2.517630372592e-13,4.911315464478e-14
114,5.008300227949e-01,7.493349715468e-14,9.644406000000e-14,2.273949783789e-14,1.104646704125e-13,4.838984820593e-14
115,5.013551231608e-01,3.362859702058e-05,3.362860000000e-05,4.745730386088e-12,8.218718531519e-05,4.987915089912e-12
116,5.082102832399e-01,2.018676575253e-06,2.018677000000e-06,4.849349008187e-13,5.819363667864e-06,5.298098927891e-13
117,5.083044140019e-01,2.342787773663e-06,2.342788000000e-06,4.824516272222e-13,6.480464513709e-06,4.914561452227e-13
118,5.104595023103e-01,3.780496614247e-13,3.796584000000e-13,8.550625678989e-15,6.672362129577e-13,2.201395423259e-14
119,5.130763578830e-01,1.842505886095e+00,1.842506000000e+00,4.940835687250e-07,5.620707682365e+00,4.977357153102e-07
120,5.143065796414e-01,9.183798589657e-14,8.938872000000e-14,2.178831422387e-14,2.431835933503e-13,3.711171900035e-14
