mode,freq,station,x_mm,nid_plus,nid_minus,uY_L,uY_R,uZ_L,uZ_R,u_L,u_V,u_T,dUZ
11,0.1378920508405773,3,1847909.0,28660,51508,-1.440003952244957e-17,-1.993270466138936e-17,5.371156925640905e-20,4.702433211739063e-17,-1.7166372091919465e-17,2.3539021843323518e-17,-1.0923400127473075e-21,-4.697062054813422e-17
11,0.1378920508405773,4,2423409.0,374,14392,7.891629004957988e-17,6.61604800036649e-17,2.832176778640456e-16,-2.543599672056084e-16,7.253838502662239e-17,1.4428855329218604e-17,1.250180569929428e-20,5.37577645069654e-16
11,0.1378920508405773,5,3361547.0,29176,52024,-0.002978847072955736,-0.003038716678328491,-0.0524470738241141,0.04086018243869334,-0.0030087818756421134,-0.00579344569271038,-2.1699361921583128e-06,-0.09330725626280745
12,0.1454033543774195,1,372853.0,80,14098,-1.479488070832861e-16,-1.495337543953534e-16,4.85331740389109e-16,1.910997192861792e-16,-1.4874128073931974e-16,3.382157298376441e-16,6.8426051419286e-21,2.942320211029298e-16
12,0.1454033543774195,2,1272409.0,28469,51317,8.73152475594959e-06,-9.970310396094011e-06,0.03373505265371662,0.03383933431855175,-6.193928200722106e-07,0.03378719348613418,-2.425154996165955e-09,-0.00010428166483513607
12,0.1454033543774195,3,1847909.0,28660,51508,7.710780616093844e-07,-9.646841535190684e-07,0.002340097393394579,0.002348204185421302,-9.680304595484203e-08,0.0023441507894079406,-1.8853004713309763e-10,-8.106792026723198e-06
12,0.1454033543774195,4,2423409.0,374,14392,9.040185896080196e-06,-1.034122267381447e-05,0.03375932020767594,0.0338643152348831,-6.505183888671366e-07,0.033811817721279516,-2.4417448187710874e-09,-0.00010499502720715675
12,0.1454033543774195,5,3361547.0,29176,52024,-2.627084576590135e-16,-2.578367087664889e-16,-1.454945815259849e-17,2.327094790367432e-17,-2.6027258321275123e-16,4.360744875537916e-18,-8.795443268900654e-22,-3.782040605627281e-17
13,0.1466344413291045,1,372853.0,80,14098,2.436326421021575e-16,2.427983520928891e-16,-8.318259870931972e-17,2.628551373425409e-17,2.432154970975233e-16,-2.8448542487532814e-17,-2.545770056827298e-21,-1.094681124435738e-16
13,0.1466344413291045,2,1272409.0,28469,51317,6.903597817347324e-06,6.311179744969112e-06,0.001275350742106324,0.001133788010746629,6.607388781158218e-06,0.0012045693764264765,3.2921565432487223e-09,0.00014156273135969505
