node_id,X_mm,Y_mm,Z_mm,family,component_class
2000403,431913.649999999907,18540.000000000000,206921.721881486010,CW1_GATE_07::right_post_bottom_weld_projection,gate
2000404,431913.649999999907,18375.000000000000,206921.721881486010,CW1_GATE_07::bottom_beam_endpoint_end,gate
2000424,431913.649999999907,25140.000000000000,215717.124845765007,CW1_GATE_07::top_beam_endpoint_start,gate
2000425,431913.649999999907,24360.000000000000,215717.124845765007,CW1_GATE_07::left_post_top_weld_projection,gate
2000426,431913.649999999907,23660.000000000000,215717.124845765007,CW1_GATE_07::gantry_rope_master_01,gate
2000427,431913.649999999907,23400.000000000000,215717.124845765007,CW1_GATE_07::gantry_rope_master_02,gate
2000428,431913.649999999907,23140.000000000000,215717.124845765007,CW1_GATE_07::gantry_rope_master_03,gate
2000429,431913.649999999907,19760.000000000000,215717.124845765007,CW1_GATE_07::gantry_rope_master_04,gate
2000430,431913.649999999907,19500.000000000000,215717.124845765007,CW1_GATE_07::gantry_rope_master_05,gate
2000431,431913.649999999907,19240.000000000000,215717.124845765007,CW1_GATE_07::gantry_rope_master_06,gate
2000432,431913.649999999907,18540.000000000000,215717.124845765007,CW1_GATE_07::right_post_top_weld_projection,gate
2000433,431913.649999999907,17760.000000000000,215717.124845765007,CW1_GATE_07::top_beam_endpoint_end,gate
2000443,431913.649999999907,24360.000000000000,207009.221881486010,CW1_GATE_07::left_post_physical_bottom,gate
2000444,431913.649999999907,24360.000000000000,215637.124845765007,CW1_GATE_07::left_post_physical_top,gate
2000446,431913.649999999907,18540.000000000000,207009.221881486010,CW1_GATE_07::right_post_physical_bottom,gate
2000447,431913.649999999907,18540.000000000000,215637.124845765007,CW1_GATE_07::right_post_physical_top,gate
2000449,488918.300000000047,24525.000000000000,233605.671379095002,CW1_GATE_08::bottom_beam_endpoint_start,gate
2000450,488918.300000000047,24360.000000000000,233605.671379095002,CW1_GATE_08::left_post_bottom_weld_projection,gate
2000451,488918.300000000047,24120.000000000000,233605.671379095002,CW1_GATE_08::bottom_rope_master_01,gate
