
 LIST CONSTRAINTS FOR SELECTED NODES         1 TO  2029626 BY        1
 CURRENTLY SELECTED DOF SET= UX   UY   UZ   ROTX ROTY ROTZ

 *** MAPDL - ENGINEERING ANALYSIS SYSTEM  RELEASE 2026 R1          26.1     ***
 Ansys Mechanical Enterprise                       
 20120530  VERSION=WINDOWS x64   01:25:22  JUL 16, 2026 Elapsed Time=     17.408

 A10 LEGACY COMPLETE FULL BRIDGE PRESTRESSED MODAL                             


 
     NODE  LABEL     REAL           IMAG
      9459  UZ     0.00000000      0.00000000    
      9462  UY     0.00000000      0.00000000    
      9462  UZ     0.00000000      0.00000000    
      9464  UX     0.00000000      0.00000000    
      9464  UY     0.00000000      0.00000000    
      9464  UZ     0.00000000      0.00000000    
      9465  UX     0.00000000      0.00000000    
      9465  UY     0.00000000      0.00000000    
      9465  UZ     0.00000000      0.00000000    
      9467  UY     0.00000000      0.00000000    
      9467  UZ     0.00000000      0.00000000    
      9470  UY     0.00000000      0.00000000    
      9470  UZ     0.00000000      0.00000000    
      9618  UX     0.00000000      0.00000000    
      9618  UY     0.00000000      0.00000000    
      9618  UZ     0.00000000      0.00000000    
      9621  UY     0.00000000      0.00000000    
      9621  UZ     0.00000000      0.00000000    

 *** MAPDL - ENGINEERING ANALYSIS SYSTEM  RELEASE 2026 R1          26.1     ***
 Ansys Mechanical Enterprise                       
 20120530  VERSION=WINDOWS x64   01:25:22  JUL 16, 2026 Elapsed Time=     17.410

 A10 LEGACY COMPLETE FULL BRIDGE PRESTRESSED MODAL                             


 
     NODE  LABEL     REAL           IMAG
      9911  UY     0.00000000      0.00000000    
      9911  UZ     0.00000000      0.00000000    
      9914  UX     0.00000000      0.00000000    
      9914  UY     0.00000000      0.00000000    
      9914  UZ     0.00000000      0.00000000    
     10072  UY     0.00000000      0.00000000    
     10072  UZ     0.00000000      0.00000000    
     10187  UY     0.00000000      0.00000000    
     10187  UZ     0.00000000      0.00000000    
     10190  UY     0.00000000      0.00000000    
     10190  UZ     0.00000000      0.00000000    
     10192  UX     0.00000000      0.00000000    
     10192  UY     0.00000000      0.00000000    
     10192  UZ     0.00000000      0.00000000    
     10193  UX     0.00000000      0.00000000    
     10193  UY     0.00000000      0.00000000    
     10193  UZ     0.00000000      0.00000000    
     10195  UY     0.00000000      0.00000000    
     10195  UZ     0.00000000      0.00000000    
     10198  UY     0.00000000      0.00000000    
     10198  UZ     0.00000000      0.00000000    
     10346  UX     0.00000000      0.00000000    
     10346  UY     0.00000000      0.00000000    
     10346  UZ     0.00000000      0.00000000    
     10349  UY     0.00000000      0.00000000    
     10349  UZ     0.00000000      0.00000000    
     10639  UY     0.00000000      0.00000000    
     10639  UZ     0.00000000      0.00000000    
     10642  UX     0.00000000      0.00000000    
     10642  UY     0.00000000      0.00000000    
     10642  UZ     0.00000000      0.00000000    
     10800  UY     0.00000000      0.00000000    
     10800  UZ     0.00000000      0.00000000    
     10915  UY     0.00000000      0.00000000    
     10915  UZ     0.00000000      0.00000000    
     10918  UY     0.00000000      0.00000000    
     10918  UZ     0.00000000      0.00000000    
     10920  UX     0.00000000      0.00000000    
     10920  UY     0.00000000      0.00000000    
     10920  UZ     0.00000000      0.00000000    
     10921  UX     0.00000000      0.00000000    
     10921  UY     0.00000000      0.00000000    
     10921  UZ     0.00000000      0.00000000    
     10923  UY     0.00000000      0.00000000    
     10923  UZ     0.00000000      0.00000000    
     10926  UY     0.00000000      0.00000000    
     10926  UZ     0.00000000      0.00000000    
     11074  UX     0.00000000      0.00000000    
     11074  UY     0.00000000      0.00000000    
     11074  UZ     0.00000000      0.00000000    

 *** MAPDL - ENGINEERING ANALYSIS SYSTEM  RELEASE 2026 R1          26.1     ***
 Ansys Mechanical Enterprise                       
 20120530  VERSION=WINDOWS x64   01:25:22  JUL 16, 2026 Elapsed Time=     17.410

 A10 LEGACY COMPLETE FULL BRIDGE PRESTRESSED MODAL                             


 
     NODE  LABEL     REAL           IMAG
     11077  UY     0.00000000      0.00000000    
     11077  UZ     0.00000000      0.00000000    
     11367  UY     0.00000000      0.00000000    
     11367  UZ     0.00000000      0.00000000    
     11370  UX     0.00000000      0.00000000    
     11370  UY     0.00000000      0.00000000    
     11370  UZ     0.00000000      0.00000000    
     11528  UY     0.00000000      0.00000000    
     11528  UZ     0.00000000      0.00000000    
     11643  UY     0.00000000      0.00000000    
     11643  UZ     0.00000000      0.00000000    
     11646  UY     0.00000000      0.00000000    
     11646  UZ     0.00000000      0.00000000    
     11648  UX     0.00000000      0.00000000    
     11648  UY     0.00000000      0.00000000    
     11648  UZ     0.00000000      0.00000000    
     11649  UX     0.00000000      0.00000000    
     11649  UY     0.00000000      0.00000000    
     11649  UZ     0.00000000      0.00000000    
     11651  UY     0.00000000      0.00000000    
     11651  UZ     0.00000000      0.00000000    
     11711  UY     0.00000000      0.00000000    
     11711  UZ     0.00000000      0.00000000    
     11714  UX     0.00000000      0.00000000    
     11714  UY     0.00000000      0.00000000    
     11714  UZ     0.00000000      0.00000000    
     11928  UX     0.00000000      0.00000000    
     11928  UY     0.00000000      0.00000000    
     11928  UZ     0.00000000      0.00000000    
     11931  UY     0.00000000      0.00000000    
     11931  UZ     0.00000000      0.00000000    
     11995  UY     0.00000000      0.00000000    
     11995  UZ     0.00000000      0.00000000    
     12041  UY     0.00000000      0.00000000    
     12041  UZ     0.00000000      0.00000000    
     12043  UX     0.00000000      0.00000000    
     12043  UY     0.00000000      0.00000000    
     12043  UZ     0.00000000      0.00000000    
     12044  UX     0.00000000      0.00000000    
     12044  UY     0.00000000      0.00000000    
     12044  UZ     0.00000000      0.00000000    
     12046  UY     0.00000000      0.00000000    
     12046  UZ     0.00000000      0.00000000    
     12106  UY     0.00000000      0.00000000    
     12106  UZ     0.00000000      0.00000000    
     12109  UX     0.00000000      0.00000000    
     12109  UY     0.00000000      0.00000000    
     12109  UZ     0.00000000      0.00000000    
     12323  UX     0.00000000      0.00000000    
     12323  UY     0.00000000      0.00000000    

 *** MAPDL - ENGINEERING ANALYSIS SYSTEM  RELEASE 2026 R1          26.1     ***
 Ansys Mechanical Enterprise                       
 20120530  VERSION=WINDOWS x64   01:25:22  JUL 16, 2026 Elapsed Time=     17.411

 A10 LEGACY COMPLETE FULL BRIDGE PRESTRESSED MODAL                             


 
     NODE  LABEL     REAL           IMAG
     12323  UZ     0.00000000      0.00000000    
     12326  UY     0.00000000      0.00000000    
     12326  UZ     0.00000000      0.00000000    
     12390  UY     0.00000000      0.00000000    
     12390  UZ     0.00000000      0.00000000    
     12436  UY     0.00000000      0.00000000    
     12436  UZ     0.00000000      0.00000000    
     12438  UX     0.00000000      0.00000000    
     12438  UY     0.00000000      0.00000000    
     12438  UZ     0.00000000      0.00000000    
     12439  UX     0.00000000      0.00000000    
     12439  UY     0.00000000      0.00000000    
     12439  UZ     0.00000000      0.00000000    
     12441  UY     0.00000000      0.00000000    
     12441  UZ     0.00000000      0.00000000    
     12501  UY     0.00000000      0.00000000    
     12501  UZ     0.00000000      0.00000000    
     12504  UX     0.00000000      0.00000000    
     12504  UY     0.00000000      0.00000000    
     12504  UZ     0.00000000      0.00000000    
     12718  UX     0.00000000      0.00000000    
     12718  UY     0.00000000      0.00000000    
