mode,frequency_hz,eigenpair_relative_residual,mode_class,dominant_span,dominant_span_fraction,main_energy_fraction,family,family_fraction_within_main,span_parity,half_wave_order,template_mac,roll_common_dominant,main_L_energy,main_V_energy,main_T_energy,main_sys_z_energy,main_intra_roll_energy,modal_mass_norm,formal_label
31,0.24460704564842986,1.7032228620265268e-11,SIDE,SOUTH,0.9917746382899545,1.5683072132797935e-11,SIDE,0.9990330885809902,,0,0.0,True,6.597977520384795e-27,2.458624434745177e-22,1.516388725026401e-14,1.515928235753299e-14,4.604892731021861e-18,0.9999999999999989,SIDE_SOUTH
32,0.24546105897491338,1.3772618333346908e-11,MAIN,MAIN,0.9999999999913649,0.9999999999913649,L,0.8324551699277708,S,7,0.8778796446909016,True,0.8324551699205832,1.8327147291926122e-10,0.14825472492667197,0.061726793938391616,0.08652793098828035,1.0,LS4
33,0.24750999550154662,2.4891905670992904e-11,SIDE,SOUTH,0.9798469994914325,4.541595198456325e-11,SIDE,0.9990298430789873,,0,0.0,False,9.58220548917616e-26,4.39125119166042e-14,1.4318643034990086e-19,8.694814165433536e-22,1.423169489333575e-19,0.9999999999999998,SIDE_SOUTH
34,0.24910692884552593,2.039143882519813e-11,SIDE,SOUTH,0.9899614755468941,2.6026940825429385e-11,SIDE,0.9990330333034486,,0,0.0,True,3.1331548602437813e-27,1.6381505301330286e-21,2.5165490765230008e-14,2.441326253114895e-14,7.5222823408106e-16,0.9999999999999994,SIDE_SOUTH
35,0.24979803403845674,1.254639042873554e-11,MAIN,MAIN,0.9999999999771948,0.9999999999771948,SYSY,0.7612642127581843,,0,0.0,False,1.1125272943651656e-08,4.889751680992301e-06,0.2280313386352205,7.921559060915687e-10,0.2280313378430646,1.0000000000000007,SYSY_MIXED
36,0.24994418895965995,2.4670769658578177e-11,SIDE,NORTH,0.999999999994867,5.132985455523357e-12,SIDE,0.9587006889417619,,0,0.0,False,1.452834514512561e-24,8.253642176994752e-15,3.4113844553977516e-16,1.5342399850366844e-19,3.4098502154127146e-16,1.0000000000000002,SIDE_NORTH
37,0.2501426790428796,1.651231950872559e-11,MAIN,MAIN,0.9999999998944111,0.9999999998944111,L,0.6589071528232887,A,2,0.30484626578076557,True,0.6589071527537155,1.6435217753383656e-10,0.30189269725977924,0.0432972073073087,0.2585954899524705,1.0000000000000004,LA4
38,0.25016076122919817,1.878296096747807e-11,SIDE,NORTH,0.9999999999945117,5.488127582927326e-12,SIDE,0.9983109053679611,,0,0.0,True,1.739653579758428e-25,1.3506008589676432e-19,9.189306114275192e-15,9.114226120588752e-15,7.507999368644085e-17,0.9999999999999998,SIDE_NORTH
39,0.2504727199685121,1.756975884514266e-11,SIDE,NORTH,0.9999999999488121,5.1188248606191366e-11,SIDE,0.9976980568082482,,0,0.0,False,2.998037300854208e-24,5.3875471331017354e-17,8.565689058998752e-14,3.5097482345808974e-21,8.565688708023928e-14,1.0,SIDE_NORTH
40,0.25703934580367255,1.2946294747377569e-11,MAIN,MAIN,0.9999999999684169,0.9999999999684169,V,0.9468556808235419,S,7,0.9841673686634395,False,5.498970676579639e-07,0.9468556807936366,7.817365976342249e-06,4.012488733601705e-06,3.804877242740544e-06,0.9999999999999993,VS4
41,0.25734546914112405,1.2074734698231731e-11,MAIN,MAIN,0.9999999999732924,0.9999999999732924,T,0.8414662850312029,S,7,0.9862525384270839,True,0.11170172377118752,4.5904537998455635e-06,0.841466285008729,0.8340822090485684,0.007384075960160486,0.9999999999999994,TS4
