id,category,stationarity,U10,Iu,truth_L_mm,pred_L_mm,rel_L_mm,truth_V_mm,pred_V_mm,rel_V_mm,truth_Tcw_rad,pred_Tcw_rad,rel_Tcw_rad,truth_Tg_rad,pred_Tg_rad,rel_Tg_rad,rel_max_abs
infa_2021_zhoushan,typhoon,stationary_ok,35.8,0.12,7021.954913272575,7101.650779237514,0.011349526869547618,732.690669684805,741.0611232185367,0.011424266583512801,0.0252447123688633,0.025537944166023306,0.011615572911881408,0.0238687121274795,0.024283427363353496,0.017374847610506176,0.017374847610506176
doksuri_2023_jinjiang,typhoon,stationary_ok,47.2,0.12,12721.66292936224,12763.332435619477,0.0032754763656770752,1328.2675815129603,1332.8216176681908,0.0034285532663857086,0.0458462982465325,0.04600161023463851,0.0033876669228742303,0.0440566494411828,0.044220274039335844,0.003713959191823853,0.003713959191823853
haiyan_2013_peak,typhoon,stationary_ok,63.9,0.12,24000.629189500185,24210.88406319471,0.00876039007287805,2514.756881411994,2536.785101735543,0.008759582481460521,0.0869461945670261,0.08773901402400588,0.009118506691728867,0.0852832007450395,0.0861419860328021,0.010069806014082364,0.010069806014082364
meranti_2016_peak,typhoon,stationary_ok,61.1,0.12,21875.167902719582,22037.056321373897,0.007400556620833441,2291.1158484788134,2308.0922744447807,0.007409675934649414,0.0791778961787261,0.07978626091053374,0.007683517258836953,0.0774123770519941,0.07807604298045023,0.008573124269396706,0.008573124269396706
goni_2020_landfall,typhoon,stationary_ok,76.8,0.12,34957.9164180278,35263.79680350925,0.00874996043310248,3667.002484749158,3699.2259543321943,0.008787414166489281,0.1271313842585552,0.1284380445466785,0.010278030839858392,0.1262835043957751,0.12752512743038075,0.009832028660800993,0.010278030839858392
tip_1979_peak,typhoon,stationary_ok,72.0,0.12,30660.97038823253,30804.68593432259,0.004687247150703955,3215.2861387276976,3230.366759173293,0.004690288762779524,0.1113532324878264,0.11193918115055163,0.00526207142472746,0.1101338233333943,0.1107174274403285,0.005299045191299021,0.005299045191299021
mangkhut_2018_peak,typhoon,stationary_ok,69.5,0.12,28525.241280205868,28558.539546836335,0.0011673263795869513,2990.6707506261446,2994.170756317067,0.0011703079284771662,0.1035190115250034,0.10364452025095017,0.0012124219899110672,0.1021381156396289,0.10227387213750579,0.0013291462939835827,0.0013291462939835827
lanyu_ryan_1995_gust,typhoon,stationary_ok,60.1,0.12,21138.510196156945,21260.689270723607,0.005779928359798731,2213.5901431525763,2226.41626469808,0.0057942621334755124,0.0764871447935024,0.07694599194143655,0.005999010018911421,0.0746925310523088,0.07519534903318173,0.0067318374914995555,0.0067318374914995555
patricia_2015_peak,hurricane,stationary_ok,84.1,0.12,41976.55153921923,42045.36125039729,0.0016392416397942823,4405.157725805153,4412.28264696969,0.0016174043264784506,0.1531851127913022,0.15353006596162144,0.0022518713733572825,0.1528082596068305,0.1530868378319186,0.0018230573779510293,0.0022518713733572825
dorian_2019_landfall,hurricane,stationary_ok,71.9,0.12,30574.185950932493,30711.787791214538,0.004500588846515071,3206.1617053881623,3220.5988592741496,0.004502940030044251,0.111034791355177,0.111595454829799,0.005049439619592318,0.1098084836011111,0.11036726702386909,0.005088709036250952,0.005088709036250952
