apdl_node_id,x_mm,y_mm,z_mm,mass_tonne,is_generated_node,system,assembly_name,role,component_ids,component_masses_tonne
4012,2403909.000000000000,22820.000000000000,165248.906178600009,1.61253314297368951e-02,0,original,ORIGINAL,retained_authoritative_conload_component,large_crossbeam;pws_roller,large_crossbeam=8.41321639812359773e-03;pws_roller=7.71211503161329821e-03
4013,2412909.000000000000,22820.000000000000,166959.111858724005,1.61253314297368951e-02,0,original,ORIGINAL,retained_authoritative_conload_component,large_crossbeam;pws_roller,large_crossbeam=8.41321639812359773e-03;pws_roller=7.71211503161329821e-03
4014,2421909.000000000000,22820.000000000000,168693.700161532004,1.61253314297368951e-02,0,original,ORIGINAL,retained_authoritative_conload_component,large_crossbeam;pws_roller,large_crossbeam=8.41321639812359773e-03;pws_roller=7.71211503161329821e-03
4016,2430909.000000000000,22820.000000000000,170453.609225286986,1.61253314297368951e-02,0,original,ORIGINAL,retained_authoritative_conload_component,large_crossbeam;pws_roller,large_crossbeam=8.41321639812359773e-03;pws_roller=7.71211503161329821e-03
4017,2439909.000000000000,22820.000000000000,172239.788913108991,1.61253314297368951e-02,0,original,ORIGINAL,retained_authoritative_conload_component,large_crossbeam;pws_roller,large_crossbeam=8.41321639812359773e-03;pws_roller=7.71211503161329821e-03
4018,2448909.000000000000,22820.000000000000,174050.386302758008,1.61253314297368951e-02,0,original,ORIGINAL,retained_authoritative_conload_component,large_crossbeam;pws_roller,large_crossbeam=8.41321639812359773e-03;pws_roller=7.71211503161329821e-03
4019,2457909.000000000000,22820.000000000000,175885.412979371002,1.61253314297368951e-02,0,original,ORIGINAL,retained_authoritative_conload_component,large_crossbeam;pws_roller,large_crossbeam=8.41321639812359773e-03;pws_roller=7.71211503161329821e-03
4020,2466909.000000000000,22820.000000000000,177744.880682523013,1.61253314297368951e-02,0,original,ORIGINAL,retained_authoritative_conload_component,large_crossbeam;pws_roller,large_crossbeam=8.41321639812359773e-03;pws_roller=7.71211503161329821e-03
4021,2475909.000000000000,22820.000000000000,179628.801309651986,1.61253314297368951e-02,0,original,ORIGINAL,retained_authoritative_conload_component,large_crossbeam;pws_roller,large_crossbeam=8.41321639812359773e-03;pws_roller=7.71211503161329821e-03
4022,2484909.000000000000,22820.000000000000,181537.186912644014,1.09945441566387928e-01,0,original,ORIGINAL,retained_authoritative_conload_component,large_crossbeam;main_cable_restrainer;pws_roller,large_crossbeam=8.41321639812359773e-03;main_cable_restrainer=9.38201101366510359e-02;pws_roller=7.71211503161329821e-03
4023,2493909.000000000000,22820.000000000000,183529.399320297991,1.61253314297368951e-02,0,original,ORIGINAL,retained_authoritative_conload_component,large_crossbeam;pws_roller,large_crossbeam=8.41321639812359773e-03;pws_roller=7.71211503161329821e-03
4024,2502909.000000000000,22820.000000000000,185546.131884323986,1.61253314297368951e-02,0,original,ORIGINAL,retained_authoritative_conload_component,large_crossbeam;pws_roller,large_crossbeam=8.41321639812359773e-03;pws_roller=7.71211503161329821e-03
4025,2511909.000000000000,22820.000000000000,187587.397506853013,1.61253314297368951e-02,0,original,ORIGINAL,retained_authoritative_conload_component,large_crossbeam;pws_roller,large_crossbeam=8.41321639812359773e-03;pws_roller=7.71211503161329821e-03
4026,2520909.000000000000,22820.000000000000,189653.209245648002,1.61253314297368951e-02,0,original,ORIGINAL,retained_authoritative_conload_component,large_crossbeam;pws_roller,large_crossbeam=8.41321639812359773e-03;pws_roller=7.71211503161329821e-03
4027,2529909.000000000000,22820.000000000000,191743.580314301013,1.61253314297368951e-02,0,original,ORIGINAL,retained_authoritative_conload_component,large_crossbeam;pws_roller,large_crossbeam=8.41321639812359773e-03;pws_roller=7.71211503161329821e-03
4028,2538909.000000000000,22820.000000000000,193858.524086024991,1.61253314297368951e-02,0,original,ORIGINAL,retained_authoritative_conload_component,large_crossbeam;pws_roller,large_crossbeam=8.41321639812359773e-03;pws_roller=7.71211503161329821e-03
4030,2547909.000000000000,22820.000000000000,195999.911828827986,1.61253314297368951e-02,0,original,ORIGINAL,retained_authoritative_conload_component,large_crossbeam;pws_roller,large_crossbeam=8.41321639812359773e-03;pws_roller=7.71211503161329821e-03
4031,2556909.000000000000,22820.000000000000,198166.835140403011,1.61253314297368951e-02,0,original,ORIGINAL,retained_authoritative_conload_component,large_crossbeam;pws_roller,large_crossbeam=8.41321639812359773e-03;pws_roller=7.71211503161329821e-03
4032,2565909.000000000000,22820.000000000000,200358.373790271988,1.61253314297368951e-02,0,original,ORIGINAL,retained_authoritative_conload_component,large_crossbeam;pws_roller,large_crossbeam=8.41321639812359773e-03;pws_roller=7.71211503161329821e-03
